"id","meter_type_code","meter_type","dict_code","dict_name","function_code","meter_factory","tel","start_offset","number_of_registers","control_address","created_by","create_time","updated_by","update_time","control_commands","long_code","jhi_enable"
"1","1","雅达智能电表雅达智能电表
雅达智能电表
","2","电表","1","1","1","6","58","-1","oooo@qq.com","2018/1/6 14:17:14","oooo@qq.com","2018/1/6 14:17:14","","",""
"2","2","台州顶峰无功表","1","1","1","1","1","100","83","-1","hxxn@qq.com","2017/12/8 19:17:00","oooo@qq.com","2017/12/19 19:03:00","1","1",""
"3","3","指明无功表","1","1","1","1","1","","","","hxxn@qq.com","2017/12/8 18:47:00","oooo@qq.com","2017/12/19 19:03:00","1","1",""
"4","4","金来单相直通电表","1","1","1","1","1","256","2","-1","hxxn@qq.com","2017/12/8 19:17:00","oooo@qq.com","2017/12/19 19:03:00","1","1",""
"5","5","仪歌多功能直通电表","1","1","1","1","1","10","44","-1","hxxn@qq.com","2017/12/8 18:47:00","oooo@qq.com","2017/12/19 19:03:00","1","1",""
"6","6","仪歌单相直通电表","1","1","1","1","1","10","24","-1","hxxn@qq.com","2017/12/8 19:17:00","oooo@qq.com","2017/12/19 19:03:00","1","1",""
"7","7","安科瑞多功能电表","1","1","1","1","1","17","97","-1","hxxn@qq.com","2017/12/8 18:47:00","oooo@qq.com","2017/12/19 19:03:00","1","1",""
"8","8","DSSD332/DTSD342-1W电表","1","1","1","1","1","8192","8","-1","hxxn@qq.com","2017/12/8 19:17:00","oooo@qq.com","2017/12/19 19:03:00","1","1",""
"9","9","依泉水表","1","1","1","1","1","8192","8","-1","hxxn@qq.com","2017/12/8 18:47:00","oooo@qq.com","2017/12/19 19:03:00","1","1",""
"10","10","顺来达水表","1","1","1","1","1","0","32","-1","hxxn@qq.com","2017/12/8 19:17:00","oooo@qq.com","2017/12/19 19:03:00","1","1",""
"11","11","GL-100液位计","1","1","1","1","1","2","3","-1","hxxn@qq.com","2017/12/8 18:47:00","oooo@qq.com","2017/12/19 19:03:00","1","1",""
"12","12","KCMD-XJ4设备温度表","1","1","1","1","1","4097","4","-1","hxxn@qq.com","2017/12/8 19:17:00","oooo@qq.com","2017/12/19 19:03:00","1","1",""
"13","13","建大仁科感烟探测","1","1","1","1","1","","","","hxxn@qq.com","2017/12/8 18:47:00","oooo@qq.com","2017/12/19 19:03:00","1","1",""
"14","14","建大仁科温湿亮三合一","1","1","1","1","1","0","4","-1","hxxn@qq.com","2017/12/8 19:17:00","oooo@qq.com","2017/12/19 19:03:00","1","1",""
"15","15","建大仁科温湿度","1","1","1","1","1","0","2","-1","hxxn@qq.com","2017/12/8 18:47:00","oooo@qq.com","2017/12/19 19:03:00","1","1",""
"16","16","建大仁科PM2.5和PM10","1","1","1","1","1","0","2","-1","hxxn@qq.com","2017/12/8 19:17:00","oooo@qq.com","2017/12/19 19:03:00","1","1",""
"17","17","建大仁科水浸检测","1","1","1","1","1","2","1","-1","hxxn@qq.com","2017/12/8 18:47:00","oooo@qq.com","2017/12/19 19:03:00","1","1",""
"18","18","建大仁科红外探测","1","1","1","1","1","3","1","-1","hxxn@qq.com","2017/12/8 19:17:00","oooo@qq.com","2017/12/19 19:03:00","1","1",""
"19","19","DL/T 645-2007 计量表","1","1","1","1","1","0","0","-1","hxxn@qq.com","2017/12/8 18:47:00","oooo@qq.com","2017/12/19 19:03:00","1","1",""
"20","20","XYM2L-125M/3N 漏电保护开关","1","1","1","1","1","0","0","-1","hxxn@qq.com","2017/12/8 19:17:00","oooo@qq.com","2017/12/19 19:03:00","1","1",""
"21","21","YDL-MACXX智能空调遥控器","1","1","1","1","1","","","","hxxn@qq.com","2017/12/8 18:47:00","oooo@qq.com","2017/12/19 19:03:00","1","1",""
"26","22","ZY112多路开关","1","1","1","1","1","0","12","6","hxxn@qq.com","2017/12/8 19:17:00","oooo@qq.com","2017/12/19 19:03:00","1","1",""
